min_cells,celltype,metric,control_n,IgAN_n,control_median,IgAN_median,delta_IgAN_minus_control,mann_whitney_exact_p,cliffs_delta_IgAN_vs_control,FDR_within_threshold_celltype
1,Cycling_stress,RIPS_UCell,5,11,0.08905884623527527,0.06852223724126816,-0.02053660899400711,0.03800366300366301,-0.6727272727272727,0.22802197802197804
1,Cycling_stress,Fibrosis,5,11,0.0,0.0,0.0,0.440934065934066,-0.2909090909090909,0.7
1,Cycling_stress,Inflammatory_chemotaxis,5,11,0.12337011098861694,0.12412238121032715,0.0007522702217102051,1.0,-0.01818181818181818,1.0
1,Cycling_stress,Complement,5,11,0.0,0.0,0.0,0.5833333333333334,-0.2,0.7
1,Cycling_stress,Endothelial_activation,5,11,0.0,0.0,0.0,0.5833333333333334,-0.21818181818181817,0.7
1,Cycling_stress,Tubular_injury,5,11,0.317535936832428,0.23545634746551514,-0.08207958936691284,0.08974358974358976,-0.5636363636363636,0.2692307692307693
1,Distal_collecting,RIPS_UCell,6,11,0.05159645155072212,0.03582413122057915,-0.015772320330142975,0.3010665804783452,-0.3333333333333333,0.9031997414350357
1,Distal_collecting,Fibrosis,6,11,0.0,0.0,0.0,0.5908209437621202,0.18181818181818182,1.0
1,Distal_collecting,Inflammatory_chemotaxis,6,11,0.036317288875579834,0.02043631672859192,-0.015880972146987915,1.0,0.015151515151515152,1.0
1,Distal_collecting,Complement,6,11,0.0,0.0,0.0,1.0,0.0,1.0
1,Distal_collecting,Endothelial_activation,6,11,0.0,0.0,0.0,1.0,0.0,1.0
1,Distal_collecting,Tubular_injury,6,11,0.18334168195724487,0.12412238121032715,-0.059219300746917725,0.2160633484162896,-0.3939393939393939,0.9031997414350357
1,Endothelial,RIPS_UCell,6,6,0.1366640031337738,0.08450837433338165,-0.05215562880039215,0.17965367965367965,-0.5,0.7064935064935065
1,Endothelial,Fibrosis,6,6,0.06659562885761261,0.08116014301776886,0.01456451416015625,0.5887445887445888,0.2222222222222222,0.7064935064935065
1,Endothelial,Inflammatory_chemotaxis,6,6,0.14259445667266846,0.08847375214099884,-0.05412070453166962,0.5887445887445888,-0.25,0.7064935064935065
1,Endothelial,Complement,6,6,0.04633031785488129,0.0,-0.04633031785488129,0.30952380952380953,-0.4166666666666667,0.7064935064935065
1,Endothelial,Endothelial_activation,6,6,0.1721109002828598,0.1574816107749939,-0.014629289507865906,0.9372294372294373,-0.05555555555555555,0.9372294372294373
1,Endothelial,Tubular_injury,6,6,0.19293294847011566,0.13609579205513,-0.05683715641498566,0.5887445887445888,-0.2222222222222222,0.7064935064935065
1,Macrophage_monocyte,RIPS_UCell,6,11,0.18275654315948486,0.1915130317211151,0.008756488561630249,0.9612152553329023,0.030303030303030304,0.9612152553329022
1,Macrophage_monocyte,Fibrosis,6,11,0.0029881298542022705,0.0,-0.0029881298542022705,0.12152553329023917,-0.5,0.729153199741435
1,Macrophage_monocyte,Inflammatory_chemotaxis,6,11,0.352495014667511,0.3171180486679077,-0.03537696599960327,0.732546864899806,-0.12121212121212122,0.8790562378797672
1,Macrophage_monocyte,Complement,6,11,0.14110702276229858,0.14511638879776,0.004009366035461426,0.5248868778280543,0.22727272727272727,0.8790562378797672
1,Macrophage_monocyte,Endothelial_activation,6,11,0.04996660351753235,0.05718100070953369,0.007214397192001343,0.6604718810601163,0.15151515151515152,0.8790562378797672
1,Macrophage_monocyte,Tubular_injury,6,11,0.3699222803115845,0.3753761053085327,0.005453824996948242,0.46234647705235943,0.24242424242424243,0.8790562378797672
1,Podocyte,RIPS_UCell,5,7,0.09954865276813507,0.0791541337966919,-0.020394518971443176,0.3434343434343435,-0.37142857142857144,0.8762626262626263
1,Podocyte,Fibrosis,5,7,0.0,0.0,0.0,0.8762626262626263,-0.11428571428571428,0.8762626262626263
1,Podocyte,Inflammatory_chemotaxis,5,7,0.14585423469543457,0.12278503179550171,-0.02306920289993286,0.20202020202020204,-0.4857142857142857,0.8762626262626263
1,Podocyte,Complement,5,7,0.0,0.0,0.0,0.8762626262626263,-0.08571428571428572,0.8762626262626263
1,Podocyte,Endothelial_activation,5,7,0.0,0.0,0.0,0.638888888888889,-0.2,0.8762626262626263
1,Podocyte,Tubular_injury,5,7,0.21217820048332214,0.20076894760131836,-0.011409252882003784,0.5303030303030304,-0.2571428571428571,0.8762626262626263
1,Proximal_tubular,RIPS_UCell,6,13,0.05330156907439232,0.053726136684417725,0.0004245676100254059,0.7653693056169837,-0.10256410256410256,0.997700132684653
1,Proximal_tubular,Fibrosis,6,13,0.0,0.0,0.0,0.5788736547250479,0.1794871794871795,0.997700132684653
1,Proximal_tubular,Inflammatory_chemotaxis,6,13,0.024699091911315918,0.0,-0.024699091911315918,0.8314167772372107,-0.08974358974358974,0.997700132684653
1,Proximal_tubular,Complement,6,13,0.0,0.0,0.0,1.0,0.0,1.0
1,Proximal_tubular,Endothelial_activation,6,13,0.0,0.0,0.0,0.8314167772372107,0.07692307692307693,0.997700132684653
1,Proximal_tubular,Tubular_injury,6,13,0.18488799035549164,0.16741889715194702,-0.017469093203544617,0.41552410437859355,-0.2564102564102564,0.997700132684653
10,Cycling_stress,RIPS_UCell,1,4,0.13763019442558289,0.07574787735939026,-0.06188231706619263,0.4,-1.0,0.6000000000000001
10,Cycling_stress,Fibrosis,1,4,0.0,0.0,0.0,1.0,0.25,1.0
10,Cycling_stress,Inflammatory_chemotaxis,1,4,0.18806418776512146,0.12491641938686371,-0.06314776837825775,0.4,-1.0,0.6000000000000001
10,Cycling_stress,Complement,1,4,0.22814345359802246,0.0,-0.22814345359802246,0.4,-1.0,0.6000000000000001
10,Cycling_stress,Endothelial_activation,1,4,0.0,0.0,0.0,1.0,0.0,1.0
10,Cycling_stress,Tubular_injury,1,4,0.3388080894947052,0.24193412065505981,-0.09687396883964539,0.4,-1.0,0.6000000000000001
10,Distal_collecting,RIPS_UCell,1,8,0.04115680605173111,0.03738848492503166,-0.0037683211266994476,0.6666666666666666,-0.5,1.0
10,Distal_collecting,Fibrosis,1,8,0.0,0.0,0.0,1.0,0.125,1.0
10,Distal_collecting,Inflammatory_chemotaxis,1,8,0.0,0.018576577305793762,0.018576577305793762,0.4444444444444444,0.75,1.0
10,Distal_collecting,Complement,1,8,0.0,0.0,0.0,1.0,0.0,1.0
10,Distal_collecting,Endothelial_activation,1,8,0.0,0.0,0.0,1.0,0.0,1.0
10,Distal_collecting,Tubular_injury,1,8,0.17268472909927368,0.1270478069782257,-0.045636922121047974,0.4444444444444444,-0.75,1.0
10,Endothelial,RIPS_UCell,2,1,0.1192721426486969,0.1291223019361496,0.009850159287452698,1.0,0.0,1.0
10,Endothelial,Fibrosis,2,1,0.0753510594367981,0.09436643123626709,0.019015371799468994,1.0,0.0,1.0
10,Endothelial,Inflammatory_chemotaxis,2,1,0.08784687519073486,0.11400866508483887,0.026161789894104004,1.0,0.0,1.0
10,Endothelial,Complement,2,1,0.0,0.0,0.0,1.0,0.0,1.0
10,Endothelial,Endothelial_activation,2,1,0.12247829139232635,0.19492316246032715,0.0724448710680008,0.6666666666666666,1.0,1.0
10,Endothelial,Tubular_injury,2,1,0.2433968484401703,0.2759946584701538,0.03259781002998352,0.6666666666666666,1.0,1.0
10,Macrophage_monocyte,RIPS_UCell,4,5,0.20394256711006165,0.14433500170707703,-0.05960756540298462,0.19047619047619047,-0.6,0.38095238095238093
10,Macrophage_monocyte,Fibrosis,4,5,0.0,0.0,0.0,0.7301587301587302,-0.25,0.7301587301587302
10,Macrophage_monocyte,Inflammatory_chemotaxis,4,5,0.352495014667511,0.1506185233592987,-0.20187649130821228,0.4126984126984127,-0.4,0.49523809523809526
10,Macrophage_monocyte,Complement,4,5,0.3430226147174835,0.12818801403045654,-0.21483460068702698,0.19047619047619047,-0.6,0.38095238095238093
10,Macrophage_monocyte,Endothelial_activation,4,5,0.0051436275243759155,0.05718100070953369,0.052037373185157776,0.4126984126984127,0.4,0.49523809523809526
10,Macrophage_monocyte,Tubular_injury,4,5,0.39581242203712463,0.26053160429000854,-0.1352808177471161,0.06349206349206349,-0.8,0.38095238095238093
10,Podocyte,RIPS_UCell,2,0,0.09639833867549896,,,,,
