leiden,marker_Proximal_tubular,marker_Endothelial,marker_Podocyte,marker_Macrophage_monocyte,marker_Fibroblast_like,marker_Mesangial_pericyte,marker_Distal_collecting,marker_Cycling_stress
0,2.2392287,0.052138247,0.044838764,0.1464067,0.0331529,0.01731797,0.36538434,0.20687304
1,2.234245,0.044643767,0.10709856,0.24283059,0.102575056,0.028569,0.55059224,0.3012828
10,1.2890084,1.3274286,0.43050104,0.3049506,0.18573074,0.098659284,0.5031569,0.7640837
11,0.8834518,0.07080689,0.054454487,0.08325543,0.07652007,0.01971219,1.1780734,0.43443322
12,2.1519656,0.039335743,0.03593695,0.27549484,0.04660141,0.026370216,0.51454324,0.5691988
13,2.2627444,0.04130646,0.030439632,0.46820703,0.09128251,0.0674619,0.31025013,0.4643791
14,1.3162367,0.152399,0.024319373,0.44615328,0.63352716,0.014803049,0.7181987,0.7848456
2,0.5076676,0.19575584,0.11505964,2.104857,0.08064227,0.02358082,0.12810104,1.3096209
3,2.0131416,0.009518512,0.02545087,0.061268378,0.004719752,0.013017066,0.2412953,0.1088611
4,2.0354438,0.027924009,0.06446547,0.13712373,0.0563213,0.059732385,0.4637157,0.8988484
5,1.7179904,0.25241998,0.12870057,0.31334984,0.5821593,0.22438738,1.1244485,0.6490638
6,0.7347466,0.062196877,0.06438566,0.11574901,0.09992038,0.044780172,1.5016972,0.58023345
7,0.66286254,0.075606376,0.043697637,0.22473179,0.096105434,0.04476288,0.34913507,0.8177491
8,1.8204554,0.07526118,0.08240435,0.19892402,0.059624325,0.048465632,0.49471742,0.43418303
9,0.47072056,0.61652863,1.0933156,0.608744,0.3441044,0.14139754,0.14944696,0.87647784
