patient_id,disease_group,celltype,n_cells
IgAN_01,IgAN,Cycling_stress,2
IgAN_01,IgAN,Distal_collecting,18
IgAN_01,IgAN,Endothelial,1
IgAN_01,IgAN,Macrophage_monocyte,1
IgAN_01,IgAN,Podocyte,2
IgAN_01,IgAN,Proximal_tubular,113
IgAN_06,IgAN,Cycling_stress,5
IgAN_06,IgAN,Distal_collecting,6
IgAN_06,IgAN,Macrophage_monocyte,3
IgAN_06,IgAN,Proximal_tubular,4
IgAN_07,IgAN,Cycling_stress,60
IgAN_07,IgAN,Distal_collecting,53
IgAN_07,IgAN,Endothelial,13
IgAN_07,IgAN,Macrophage_monocyte,18
IgAN_07,IgAN,Podocyte,4
IgAN_07,IgAN,Proximal_tubular,294
IgAN_09,IgAN,Cycling_stress,27
IgAN_09,IgAN,Distal_collecting,21
IgAN_09,IgAN,Endothelial,2
IgAN_09,IgAN,Macrophage_monocyte,10
IgAN_09,IgAN,Podocyte,2
IgAN_09,IgAN,Proximal_tubular,241
IgAN_10,IgAN,Cycling_stress,13
IgAN_10,IgAN,Distal_collecting,39
IgAN_10,IgAN,Macrophage_monocyte,14
IgAN_10,IgAN,Podocyte,2
IgAN_10,IgAN,Proximal_tubular,272
IgAN_11,IgAN,Cycling_stress,1
IgAN_11,IgAN,Distal_collecting,27
IgAN_11,IgAN,Endothelial,1
IgAN_11,IgAN,Proximal_tubular,8
IgAN_12,IgAN,Distal_collecting,14
IgAN_12,IgAN,Macrophage_monocyte,3
IgAN_12,IgAN,Podocyte,1
IgAN_12,IgAN,Proximal_tubular,79
IgAN_15,IgAN,Cycling_stress,20
IgAN_15,IgAN,Distal_collecting,13
IgAN_15,IgAN,Endothelial,2
IgAN_15,IgAN,Macrophage_monocyte,31
IgAN_15,IgAN,Podocyte,7
IgAN_15,IgAN,Proximal_tubular,148
IgAN_16,IgAN,Cycling_stress,3
IgAN_16,IgAN,Distal_collecting,1
IgAN_16,IgAN,Macrophage_monocyte,1
IgAN_16,IgAN,Proximal_tubular,168
IgAN_17,IgAN,Distal_collecting,15
IgAN_17,IgAN,Endothelial,2
IgAN_17,IgAN,Macrophage_monocyte,3
IgAN_17,IgAN,Podocyte,3
IgAN_17,IgAN,Proximal_tubular,106
IgAN_18,IgAN,Cycling_stress,1
IgAN_18,IgAN,Proximal_tubular,13
IgAN_19,IgAN,Cycling_stress,2
IgAN_19,IgAN,Macrophage_monocyte,4
IgAN_19,IgAN,Proximal_tubular,33
IgAN_20,IgAN,Cycling_stress,1
IgAN_20,IgAN,Distal_collecting,3
IgAN_20,IgAN,Macrophage_monocyte,12
IgAN_20,IgAN,Proximal_tubular,56
NM_01,control,Cycling_stress,4
NM_01,control,Distal_collecting,3
NM_01,control,Endothelial,4
NM_01,control,Macrophage_monocyte,27
NM_01,control,Podocyte,14
NM_01,control,Proximal_tubular,68
NM_02,control,Distal_collecting,27
NM_02,control,Endothelial,28
NM_02,control,Macrophage_monocyte,8
NM_02,control,Podocyte,70
NM_02,control,Proximal_tubular,176
NM_03,control,Cycling_stress,1
NM_03,control,Distal_collecting,1
NM_03,control,Endothelial,27
NM_03,control,Macrophage_monocyte,4
NM_03,control,Podocyte,7
NM_03,control,Proximal_tubular,27
NM_07,control,Cycling_stress,1
NM_07,control,Distal_collecting,2
NM_07,control,Endothelial,8
NM_07,control,Macrophage_monocyte,26
NM_07,control,Podocyte,6
NM_07,control,Proximal_tubular,51
NM_08,control,Cycling_stress,14
NM_08,control,Distal_collecting,1
NM_08,control,Endothelial,1
NM_08,control,Macrophage_monocyte,58
NM_08,control,Podocyte,1
NM_08,control,Proximal_tubular,18
NM_09,control,Cycling_stress,1
NM_09,control,Distal_collecting,3
NM_09,control,Endothelial,1
NM_09,control,Macrophage_monocyte,29
NM_09,control,Proximal_tubular,46
