celltype,module,n_genes,control_n,IgAN_n,control_median,IgAN_median,delta_IgAN_minus_control,mann_whitney_exact_p,cliffs_delta_IgAN_vs_control,FDR_within_celltype
Cycling_stress,Fibrosis,8,1,4,-0.9963042643315202,-0.1117665399571423,0.8845377243743779,0.4,1.0,0.6666666666666666
Cycling_stress,Inflammatory_chemotaxis,8,1,4,-0.17522970971021953,-0.021145735335595207,0.15408397437462432,0.8,0.5,1.0
Cycling_stress,Complement,6,1,4,0.9541178057134312,-0.3136319941968762,-1.2677497999103073,0.4,-1.0,0.6666666666666666
Cycling_stress,Endothelial_activation,5,1,4,-0.15100676972919655,-0.019199272334673445,0.1318074973945231,1.0,0.0,1.0
Cycling_stress,Tubular_injury,8,1,4,0.37600005000525105,-0.12581911130515105,-0.5018191613104022,0.4,-1.0,0.6666666666666666
Distal_collecting,Fibrosis,8,1,8,-0.34015888878327255,-0.01912055104315988,0.32103833774011264,0.6666666666666666,0.5,1.0
Distal_collecting,Inflammatory_chemotaxis,8,1,8,-0.8344417798528263,-0.03305587358636687,0.8013859062664594,0.2222222222222222,1.0,1.0
Distal_collecting,Complement,6,1,8,-0.0278014032036978,-0.01503459867488715,0.012766804528810651,1.0,0.0,1.0
Distal_collecting,Endothelial_activation,5,1,8,0.01524054872928895,0.08369479787472113,0.06845424914543217,1.0,0.0,1.0
Distal_collecting,Tubular_injury,8,1,8,0.62897504671316,0.04123782537099362,-0.5877372213421663,0.4444444444444444,-0.75,1.0
Endothelial,Fibrosis,8,2,1,-0.1888592841735979,0.37771856834719575,0.5665778525207936,1.0,0.0,1.0
Endothelial,Inflammatory_chemotaxis,8,2,1,-0.4841523397303154,0.9683046794606296,1.452457019190945,0.6666666666666666,1.0,0.8333333333333333
Endothelial,Complement,6,2,1,0.29300032154798317,-0.5860006430959656,-0.8790009646439487,0.6666666666666666,-1.0,0.8333333333333333
Endothelial,Endothelial_activation,5,2,1,-0.624387469510346,1.2487749390206915,1.8731624085310374,0.6666666666666666,1.0,0.8333333333333333
Endothelial,Tubular_injury,8,2,1,-0.30411309170903134,0.608226183418064,0.9123392751270953,0.6666666666666666,1.0,0.8333333333333333
Macrophage_monocyte,Fibrosis,8,4,5,-0.05159482293715785,0.056979451482534305,0.10857427441969215,0.7301587301587302,0.2,0.7301587301587302
Macrophage_monocyte,Inflammatory_chemotaxis,8,4,5,0.28319945666585367,-0.7305876550542332,-1.0137871117200867,0.5555555555555556,-0.3,0.6944444444444444
Macrophage_monocyte,Complement,6,4,5,0.315682145050649,-0.03057215869831913,-0.34625430374896815,0.5555555555555556,-0.3,0.6944444444444444
Macrophage_monocyte,Endothelial_activation,5,4,5,-0.11631517613969736,0.3193953696350008,0.43571054577469814,0.4126984126984127,0.4,0.6944444444444444
Macrophage_monocyte,Tubular_injury,8,4,5,0.12321449150022598,-0.2369930072922541,-0.36020749879248004,0.5555555555555556,-0.3,0.6944444444444444
Podocyte,Fibrosis,8,2,0,7.216449660063518e-16,,,,,
Podocyte,Inflammatory_chemotaxis,8,2,0,-6.727951529228449e-14,,,,,
Podocyte,Complement,6,2,0,-2.220446049250313e-16,,,,,
Podocyte,Endothelial_activation,5,2,0,1.44578793381811e-13,,,,,
Podocyte,Tubular_injury,8,2,0,6.494804694057166e-15,,,,,
Proximal_tubular,Fibrosis,8,6,11,-0.21075988856162356,0.012844953766718653,0.2236048423283422,0.46234647705235943,0.24242424242424243,0.9612152553329023
Proximal_tubular,Inflammatory_chemotaxis,8,6,11,0.12578540101368071,0.32142177026182384,0.19563636924814312,0.9612152553329023,-0.030303030303030304,0.9612152553329023
Proximal_tubular,Complement,6,6,11,-0.037932488140934376,0.00802519114453983,0.04595767928547421,0.732546864899806,-0.12121212121212122,0.9612152553329023
Proximal_tubular,Endothelial_activation,5,6,11,-0.1532209114377916,0.12403900954641336,0.27725992098420493,0.807530704589528,0.09090909090909091,0.9612152553329023
Proximal_tubular,Tubular_injury,8,6,11,-0.026146644839518018,-0.04582029187347182,-0.019673647033953804,0.732546864899806,-0.12121212121212122,0.9612152553329023
