sample_id,disease_group,tissue,negative_mean,negative_sd,background_threshold,positive_geo_mean,housekeeping_geo_mean,n_endogenous,n_housekeeping,n_positive,n_negative,positive_factor,housekeeping_factor,log2_housekeeping_geo_mean
GSM6788338,IgAVN,kidney,3.375,1.79843682124227,6.97187364248454,447.89185031439496,518.6923929600575,579,15,6,8,0.962967348766161,0.8194356626045722,9.018735401351385
GSM6788339,IgAVN,kidney,3.375,0.9921567416492215,5.359313483298443,477.5540099947353,329.7794526407893,579,15,6,8,0.9031548654276361,1.2888463526444849,8.36535770226536
GSM6788340,IgAVN,kidney,4.5,4.092676385936225,12.68535277187245,410.9975168016065,1613.2651226862588,579,15,6,8,1.049410787168866,0.263462613017659,10.655767833976364
GSM6788341,IgAN,kidney,2.375,2.2878756522153907,6.950751304430781,493.46374617322954,169.40141000350172,579,15,6,8,0.874036301503321,2.509040773063164,7.404302072689191
GSM6788342,IgAN,kidney,4.25,3.2307119958300214,10.711423991660043,390.38753356272525,1327.587639986855,579,15,6,8,1.1048130141223464,0.3201559218473775,10.374591387575483
GSM6788343,IgAN,kidney,2.625,1.79843682124227,6.22187364248454,441.9210531002169,154.2934629793732,579,15,6,8,0.9759780046808805,2.754718421026022,7.26953312966769
GSM6788344,IgAN,kidney,1.375,0.8569568250501305,3.088913650100261,362.9192332733384,115.9734567331289,579,15,6,8,1.1884330949921817,3.6649338278433903,6.857650838046755
GSM6788345,IgAN,kidney,3.0,1.9364916731037085,6.872983346207417,460.769518617593,279.26802184665934,579,15,6,8,0.9360541663546472,1.5219610247626363,8.125506574117559
GSM6788346,IgA-IRGN,kidney,4.375,2.54644359843292,9.46788719686584,435.92469793542864,1040.7866624831756,579,15,6,8,0.989403054412646,0.40837864284223246,10.023458664039627
GSM6788347,IgA-IRGN,kidney,5.0,2.7386127875258306,10.477225575051662,439.7115376719961,1041.1927032560918,579,15,6,8,0.9808822163610279,0.4082193847344263,10.024021391054651
GSM6788348,IgA-IRGN,kidney,1.625,0.9921567416492215,3.6093134832984433,418.170851769123,234.65970844664943,579,15,6,8,1.0314091137785755,1.8112825909770909,7.874426339201603
GSM6788349,IgA-IRGN,kidney,6.25,2.7271780286589284,11.704356057317856,436.09618657602107,1554.6031569388579,579,15,6,8,0.989013985693354,0.27340420789451186,10.602330635703462
GSM6788350,IgAVN,kidney,3.0,2.1213203435596424,7.242640687119285,363.84217273146817,1712.5060615418033,579,15,6,8,1.1854184587599903,0.2481947680410009,10.741893379270039
GSM6788351,IgAVN,kidney,3.25,2.384848003542364,8.019696007084729,374.12829981727754,583.6672060871049,579,15,6,8,1.1528270591716012,0.7282147091363993,9.189002201039926
GSM6788352,IgAVN,kidney,3.125,2.2043990110685496,7.533798022137099,409.8392769654443,1527.0016071759383,579,15,6,8,1.0523765092128756,0.27834616723111555,10.576485865240555
GSM6788353,IgAVN,kidney,4.75,2.9895651857753496,10.7291303715507,439.47471726157266,1294.2320338234301,579,15,6,8,0.9814107858553167,0.328407143082013,10.337880575900336
GSM6788354,IgAV,skin,2.5,2.0,6.5,336.6406630979631,449.41427040701245,579,15,6,8,1.2812035945452984,0.9457533342860753,8.811902125415283
GSM6788355,IgAV,skin,2.25,1.6393596310755,5.528719262151,292.57901843202694,400.65581901933933,579,15,6,8,1.4741495475056616,1.0608483005525993,8.646219619942958
GSM6788356,IgAV,skin,4.0,2.3979157616563596,8.79583152331272,426.102103908428,262.14017086844086,579,15,6,8,1.0122109787186437,1.621403706669919,8.034194641769728
GSM6788357,IgAV,skin,3.375,2.2878756522153907,7.950751304430781,478.3331244624378,2.045833001010693,579,15,6,8,0.9016837964461154,207.75647108204723,1.0326883843565544
GSM6788358,IgAV,skin,2.875,1.7633419974582356,6.401683994916471,467.9719963269056,114.88897706699413,579,15,6,8,0.9216475152712588,3.6995284975453235,6.844096576151729
GSM6788359,IgAV,skin,4.5,2.0,8.5,456.99528136000254,517.0306725989319,579,15,6,8,0.9437848599829595,0.8220693031163389,9.014106060051402
GSM6788360,IgAV,skin,3.625,2.2878756522153907,8.200751304430781,378.44234707321147,314.51121313772313,579,15,6,8,1.1396854262395353,1.3514145981404322,8.296967643603626
GSM6788361,IgAV,skin,3.375,0.9921567416492215,5.359313483298443,426.68575732701765,32.704606770039824,579,15,6,8,1.0108263991119466,12.996182699941338,5.0314219629097945
