sample_id,CodeClass,n_rows
GSM6788338,Endogenous,579
GSM6788338,Housekeeping,15
GSM6788338,Negative,8
GSM6788338,Positive,6
GSM6788339,Endogenous,579
GSM6788339,Housekeeping,15
GSM6788339,Negative,8
GSM6788339,Positive,6
GSM6788340,Endogenous,579
GSM6788340,Housekeeping,15
GSM6788340,Negative,8
GSM6788340,Positive,6
GSM6788341,Endogenous,579
GSM6788341,Housekeeping,15
GSM6788341,Negative,8
GSM6788341,Positive,6
GSM6788342,Endogenous,579
GSM6788342,Housekeeping,15
GSM6788342,Negative,8
GSM6788342,Positive,6
GSM6788343,Endogenous,579
GSM6788343,Housekeeping,15
GSM6788343,Negative,8
GSM6788343,Positive,6
GSM6788344,Endogenous,579
GSM6788344,Housekeeping,15
GSM6788344,Negative,8
GSM6788344,Positive,6
GSM6788345,Endogenous,579
GSM6788345,Housekeeping,15
GSM6788345,Negative,8
GSM6788345,Positive,6
GSM6788346,Endogenous,579
GSM6788346,Housekeeping,15
GSM6788346,Negative,8
GSM6788346,Positive,6
GSM6788347,Endogenous,579
GSM6788347,Housekeeping,15
GSM6788347,Negative,8
GSM6788347,Positive,6
GSM6788348,Endogenous,579
GSM6788348,Housekeeping,15
GSM6788348,Negative,8
GSM6788348,Positive,6
GSM6788349,Endogenous,579
GSM6788349,Housekeeping,15
GSM6788349,Negative,8
GSM6788349,Positive,6
GSM6788350,Endogenous,579
GSM6788350,Housekeeping,15
GSM6788350,Negative,8
GSM6788350,Positive,6
GSM6788351,Endogenous,579
GSM6788351,Housekeeping,15
GSM6788351,Negative,8
GSM6788351,Positive,6
GSM6788352,Endogenous,579
GSM6788352,Housekeeping,15
GSM6788352,Negative,8
GSM6788352,Positive,6
GSM6788353,Endogenous,579
GSM6788353,Housekeeping,15
GSM6788353,Negative,8
GSM6788353,Positive,6
GSM6788354,Endogenous,579
GSM6788354,Housekeeping,15
GSM6788354,Negative,8
GSM6788354,Positive,6
GSM6788355,Endogenous,579
GSM6788355,Housekeeping,15
GSM6788355,Negative,8
GSM6788355,Positive,6
GSM6788356,Endogenous,579
GSM6788356,Housekeeping,15
GSM6788356,Negative,8
GSM6788356,Positive,6
GSM6788357,Endogenous,579
GSM6788357,Housekeeping,15
GSM6788357,Negative,8
GSM6788357,Positive,6
GSM6788358,Endogenous,579
GSM6788358,Housekeeping,15
GSM6788358,Negative,8
GSM6788358,Positive,6
GSM6788359,Endogenous,579
GSM6788359,Housekeeping,15
GSM6788359,Negative,8
GSM6788359,Positive,6
GSM6788360,Endogenous,579
GSM6788360,Housekeeping,15
GSM6788360,Negative,8
GSM6788360,Positive,6
GSM6788361,Endogenous,579
GSM6788361,Housekeeping,15
GSM6788361,Negative,8
GSM6788361,Positive,6
