strategy,term,beta,standard_error,p_value,n,r_squared
raw_log2,const,-4.853558909213183,1.1987544743379532,0.0028899804669649874,12,0.7520822810433686
raw_log2,IgAN_indicator,0.21506276448716283,0.34024987044651556,0.5430598323318129,12,0.7520822810433686
raw_log2,log2_housekeeping_geo_mean,0.5248725809211123,0.1206300493169559,0.0018473058827980272,12,0.7520822810433686
background_only,const,-4.600628309627361,1.1554652513928814,0.0031979396593695836,12,0.744253996730931
background_only,IgAN_indicator,0.21143745865924926,0.3279628235039582,0.5352072347832322,12,0.744253996730931
background_only,log2_housekeeping_geo_mean,0.49717214129097625,0.11627387696428067,0.002062431548325007,12,0.744253996730931
background_positive,const,-4.850345707312787,1.1107675711959524,0.0018058501422742101,12,0.773405555473438
background_positive,IgAN_indicator,0.24796705226178503,0.3152760054592005,0.4517814599354897,12,0.773405555473438
background_positive,log2_housekeeping_geo_mean,0.5230080381219042,0.11177597227909741,0.0011537124702900097,12,0.773405555473438
background_positive_housekeeping,const,2.953738830980615,1.1770550002517768,0.033341845375814465,12,0.69487498404181
background_positive_housekeeping,IgAN_indicator,0.272199005281897,0.33409077498148576,0.43624578695936,12,0.69487498404181
background_positive_housekeeping,log2_housekeeping_geo_mean,-0.3379266783314379,0.11844644234388234,0.01899627510165302,12,0.69487498404181
