gene,mean_count,sd_count,CV,median_difference_IgAN_minus_IgAVN,raw_p,FDR
EEF1G,5809.5,4704.866106844416,0.8098573210851908,-9924.0,0.01767676767676768,0.03787878787878789
TUBB,772.8333333333334,531.3923273397496,0.6875898132496221,-930.0,0.10606060606060606,0.10606060606060606
TBP,193.75,146.66692708310214,0.7569905913966561,-272.0,0.01767676767676768,0.03787878787878789
POLR2A,1172.25,936.7232893620898,0.7990815008420471,-1735.0,0.04797979797979798,0.07996632996632996
GUSB,305.0833333333333,260.3179012711616,0.8532681822600217,-370.0,0.07323232323232323,0.09154040404040403
HPRT1,480.75,335.7067482689815,0.6982979683182143,-651.0,0.01767676767676768,0.03787878787878789
GAPDH,12653.916666666666,10042.33806157986,0.7936149989065199,-14329.0,0.01767676767676768,0.03787878787878789
SDHA,944.1666666666666,795.7101475341941,0.8427644987122974,-1445.0,0.01767676767676768,0.03787878787878789
OAZ1,2767.4166666666665,2090.380844819644,0.755354576706186,-3395.0,0.01767676767676768,0.03787878787878789
PPIA,258.6666666666667,181.89297830195525,0.7031945037446723,-291.0,0.07323232323232323,0.09154040404040403
G6PD,234.5,178.83302267758043,0.7626141692007694,-228.0,0.10606060606060606,0.10606060606060606
RPL19,14213.416666666666,9886.863940420586,0.6956007955221125,-14783.0,0.10606060606060606,0.10606060606060606
POLR1B,104.91666666666667,83.55283591170851,0.7963733367279604,-133.0,0.07323232323232323,0.09154040404040403
ABCF1,313.25,233.22239922443129,0.7445248179550878,-484.0,0.030303030303030304,0.05681818181818182
ALAS1,312.1666666666667,250.10192366757641,0.8011807485346815,-400.0,0.01767676767676768,0.03787878787878789
