normalization_strategy,metric,IgAN_n,IgAVN_n,IgAN_median,IgAVN_median,delta_IgAN_minus_IgAVN,mann_whitney_exact_p,cliffs_delta_IgAN_vs_IgAVN,FDR_modules_only_within_strategy,FDR_all_metrics_within_strategy
raw_log2,Inflammatory_chemotaxis,5,7,-0.5115484062637649,0.243478114085248,-0.7550265203490129,0.638888888888889,-0.2,0.638888888888889,0.638888888888889
raw_log2,Complement,5,7,-0.6916350491821107,0.42039309618077453,-1.1120281453628853,0.148989898989899,-0.5428571428571428,0.2234848484848485,0.19865319865319866
raw_log2,Endothelial_activation,5,7,-1.109773455154321,0.5117265418891439,-1.621499997043465,0.148989898989899,-0.5428571428571428,0.2234848484848485,0.19865319865319866
raw_log2,restricted_RIPS,5,7,-0.8782595057908248,0.3332859253978786,-1.2115454311887035,0.148989898989899,-0.5428571428571428,,0.19865319865319866
background_only,Inflammatory_chemotaxis,5,7,-0.49109077062638345,0.18367321344833107,-0.6747639840747145,0.638888888888889,-0.2,0.638888888888889,0.638888888888889
background_only,Complement,5,7,-0.6961715127609814,0.42666656594901625,-1.1228380787099976,0.148989898989899,-0.5428571428571428,0.3030303030303031,0.2693602693602694
background_only,Endothelial_activation,5,7,-1.1378117313371063,0.446679506732087,-1.5844912380691933,0.20202020202020204,-0.4857142857142857,0.3030303030303031,0.2693602693602694
background_only,restricted_RIPS,5,7,-0.8911169123838215,0.3498826677222027,-1.2409995801060243,0.148989898989899,-0.5428571428571428,,0.2693602693602694
background_positive,Inflammatory_chemotaxis,5,7,-0.533789213959669,0.19968338539621522,-0.7334725993558843,0.638888888888889,-0.2,0.638888888888889,0.638888888888889
background_positive,Complement,5,7,-0.8823443924968635,0.40950440057737286,-1.2918487930742364,0.148989898989899,-0.5428571428571428,0.3030303030303031,0.2693602693602694
background_positive,Endothelial_activation,5,7,-1.1548869469585772,0.5302422787988699,-1.685129225757447,0.20202020202020204,-0.4857142857142857,0.3030303030303031,0.2693602693602694
background_positive,restricted_RIPS,5,7,-0.9565820908488895,0.4657275477659352,-1.4223096386148246,0.148989898989899,-0.5428571428571428,,0.2693602693602694
background_positive_housekeeping,Inflammatory_chemotaxis,5,7,0.5032616500436816,-0.6670258924217555,1.170287542465437,0.10606060606060606,0.6,0.148989898989899,0.1414141414141414
background_positive_housekeeping,Complement,5,7,0.6876216716724518,-0.5648713073095324,1.252492978981984,0.010101010101010102,0.8857142857142857,0.030303030303030304,0.04040404040404041
background_positive_housekeeping,Endothelial_activation,5,7,0.5233334650987798,-0.4870630702698445,1.0103965353686242,0.148989898989899,0.5428571428571428,0.148989898989899,0.148989898989899
background_positive_housekeeping,restricted_RIPS,5,7,0.6094116618435448,-0.5894516265498125,1.1988632883933574,0.030303030303030304,0.7714285714285715,,0.06060606060606061
