sample_id,module,requested_n,detected_n,coverage_fraction,detected_genes,missing_genes
Le1,Fibrosis,8,8,1.0,COL1A1;COL3A1;COL4A1;FN1;ACTA2;TAGLN;POSTN;THBS1,
Le1,Inflammatory_chemotaxis,8,8,1.0,CCL2;CCL5;CXCL1;CXCL2;CXCL8;CXCL10;TNF;IL1B,
Le1,Complement,6,6,1.0,C3;CFB;CFH;C1QA;C1QB;C1QC,
Le1,Endothelial_activation,5,5,1.0,VCAM1;ICAM1;SELE;VWF;PECAM1,
Le1,Tubular_injury,8,8,1.0,HAVCR1;LCN2;SPP1;VCAM1;JUN;FOS;ATF3;KLF6,
Le2,Fibrosis,8,8,1.0,COL1A1;COL3A1;COL4A1;FN1;ACTA2;TAGLN;POSTN;THBS1,
Le2,Inflammatory_chemotaxis,8,8,1.0,CCL2;CCL5;CXCL1;CXCL2;CXCL8;CXCL10;TNF;IL1B,
Le2,Complement,6,6,1.0,C3;CFB;CFH;C1QA;C1QB;C1QC,
Le2,Endothelial_activation,5,5,1.0,VCAM1;ICAM1;SELE;VWF;PECAM1,
Le2,Tubular_injury,8,8,1.0,HAVCR1;LCN2;SPP1;VCAM1;JUN;FOS;ATF3;KLF6,
Le3,Fibrosis,8,8,1.0,COL1A1;COL3A1;COL4A1;FN1;ACTA2;TAGLN;POSTN;THBS1,
Le3,Inflammatory_chemotaxis,8,8,1.0,CCL2;CCL5;CXCL1;CXCL2;CXCL8;CXCL10;TNF;IL1B,
Le3,Complement,6,6,1.0,C3;CFB;CFH;C1QA;C1QB;C1QC,
Le3,Endothelial_activation,5,5,1.0,VCAM1;ICAM1;SELE;VWF;PECAM1,
Le3,Tubular_injury,8,8,1.0,HAVCR1;LCN2;SPP1;VCAM1;JUN;FOS;ATF3;KLF6,
Ne1,Fibrosis,8,8,1.0,COL1A1;COL3A1;COL4A1;FN1;ACTA2;TAGLN;POSTN;THBS1,
Ne1,Inflammatory_chemotaxis,8,8,1.0,CCL2;CCL5;CXCL1;CXCL2;CXCL8;CXCL10;TNF;IL1B,
Ne1,Complement,6,6,1.0,C3;CFB;CFH;C1QA;C1QB;C1QC,
Ne1,Endothelial_activation,5,5,1.0,VCAM1;ICAM1;SELE;VWF;PECAM1,
Ne1,Tubular_injury,8,8,1.0,HAVCR1;LCN2;SPP1;VCAM1;JUN;FOS;ATF3;KLF6,
Ne2,Fibrosis,8,8,1.0,COL1A1;COL3A1;COL4A1;FN1;ACTA2;TAGLN;POSTN;THBS1,
Ne2,Inflammatory_chemotaxis,8,8,1.0,CCL2;CCL5;CXCL1;CXCL2;CXCL8;CXCL10;TNF;IL1B,
Ne2,Complement,6,6,1.0,C3;CFB;CFH;C1QA;C1QB;C1QC,
Ne2,Endothelial_activation,5,5,1.0,VCAM1;ICAM1;SELE;VWF;PECAM1,
Ne2,Tubular_injury,8,8,1.0,HAVCR1;LCN2;SPP1;VCAM1;JUN;FOS;ATF3;KLF6,
Ne3,Fibrosis,8,8,1.0,COL1A1;COL3A1;COL4A1;FN1;ACTA2;TAGLN;POSTN;THBS1,
Ne3,Inflammatory_chemotaxis,8,8,1.0,CCL2;CCL5;CXCL1;CXCL2;CXCL8;CXCL10;TNF;IL1B,
Ne3,Complement,6,6,1.0,C3;CFB;CFH;C1QA;C1QB;C1QC,
Ne3,Endothelial_activation,5,5,1.0,VCAM1;ICAM1;SELE;VWF;PECAM1,
Ne3,Tubular_injury,8,8,1.0,HAVCR1;LCN2;SPP1;VCAM1;JUN;FOS;ATF3;KLF6,
