sample_id,clinical_group,selection_mode,seed,selected_nuclei,median_RIPS_UCell,mean_RIPS_UCell
Le1,low-eGFR,all_qc,,92700,0.01902374066412449,0.01799805648624897
Le1,low-eGFR,top_umi,,5000,0.012545973062515259,0.017831848934292793
Le1,low-eGFR,random_downsample,11.0,5000,0.01887328550219536,0.01778700016438961
Le1,low-eGFR,random_downsample,23.0,5000,0.018070882186293602,0.017484264448285103
Le1,low-eGFR,random_downsample,37.0,5000,0.01904881000518799,0.017904171720147133
Le1,low-eGFR,random_downsample,51.0,5000,0.018463723361492157,0.017940199002623558
Le1,low-eGFR,random_downsample,73.0,5000,0.019241059198975563,0.01845729909837246
Le2,low-eGFR,all_qc,,93102,0.02350383996963501,0.028255192562937737
Le2,low-eGFR,top_umi,,5000,0.016365766525268555,0.01964256539940834
Le2,low-eGFR,random_downsample,11.0,5000,0.024155795574188232,0.02879023179411888
Le2,low-eGFR,random_downsample,23.0,5000,0.021699856966733932,0.02772241272032261
Le2,low-eGFR,random_downsample,37.0,5000,0.023788034915924072,0.02822086401283741
Le2,low-eGFR,random_downsample,51.0,5000,0.02381907030940056,0.028226690366864204
Le2,low-eGFR,random_downsample,73.0,5000,0.023420263081789017,0.028047380968928337
Le3,low-eGFR,all_qc,,92693,0.02497493103146553,0.03439141437411308
Le3,low-eGFR,top_umi,,5000,0.019633900374174118,0.025270629674196243
Le3,low-eGFR,random_downsample,11.0,5000,0.02500835619866848,0.03475344926118851
Le3,low-eGFR,random_downsample,23.0,5000,0.02500835619866848,0.03496497869491577
Le3,low-eGFR,random_downsample,37.0,5000,0.02499999850988388,0.03468190133571625
Le3,low-eGFR,random_downsample,51.0,5000,0.02500835619866848,0.03459654003381729
Le3,low-eGFR,random_downsample,73.0,5000,0.02500835619866848,0.03466431424021721
Ne1,normal-eGFR,all_qc,,82512,0.0,0.008030048571527004
Ne1,normal-eGFR,top_umi,,5000,0.003811436705291271,0.014184918254613876
Ne1,normal-eGFR,random_downsample,11.0,5000,0.0,0.008046313188970089
Ne1,normal-eGFR,random_downsample,23.0,5000,0.0,0.008161650039255619
Ne1,normal-eGFR,random_downsample,37.0,5000,0.0,0.008244710974395275
Ne1,normal-eGFR,random_downsample,51.0,5000,0.0,0.008132881484925747
Ne1,normal-eGFR,random_downsample,73.0,5000,0.0,0.008007306605577469
Ne2,normal-eGFR,all_qc,,81457,0.0,0.00939359050244093
Ne2,normal-eGFR,top_umi,,5000,0.010648608207702637,0.016151931136846542
Ne2,normal-eGFR,random_downsample,11.0,5000,0.0,0.009428005665540695
Ne2,normal-eGFR,random_downsample,23.0,5000,0.0,0.009440005756914616
Ne2,normal-eGFR,random_downsample,37.0,5000,0.0,0.009279792197048664
Ne2,normal-eGFR,random_downsample,51.0,5000,0.0,0.009743481874465942
Ne2,normal-eGFR,random_downsample,73.0,5000,0.0,0.009443768300116062
Ne3,normal-eGFR,all_qc,,83088,0.0,0.007866122759878635
Ne3,normal-eGFR,top_umi,,5000,0.0069910939782857895,0.014464239589869976
Ne3,normal-eGFR,random_downsample,11.0,5000,0.0,0.007716616149991751
Ne3,normal-eGFR,random_downsample,23.0,5000,0.0,0.00808317493647337
Ne3,normal-eGFR,random_downsample,37.0,5000,0.0,0.007631815969944
Ne3,normal-eGFR,random_downsample,51.0,5000,0.0,0.007644983008503914
Ne3,normal-eGFR,random_downsample,73.0,5000,0.0,0.0077392105013132095
