Module	Gene	Full gene name	Biological rationale	Reference IDs	IgA-specific?	Scope caveat	GSE127136 coverage	GSE286911 coverage	GSE220100 current-output coverage	Weighting rule	Curation status
Fibrosis	COL1A1	Collagen type I alpha 1 chain	Matrix-producing fibroblast/myofibroblast program	R2; R1	No	Likely reflects generic CKD chronicity and stromal-cell abundance rather than IgA-specific biology.	Whole-transcriptome matrix; verify after input load	Yes	Not confirmed in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Fibrosis	COL3A1	Collagen type III alpha 1 chain	Interstitial extracellular-matrix deposition	R2; R1	No	Likely reflects generic CKD chronicity and stromal-cell abundance rather than IgA-specific biology.	Whole-transcriptome matrix; verify after input load	Yes	Not confirmed in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Fibrosis	COL4A1	Collagen type IV alpha 1 chain	Basement-membrane and matrix-remodeling component	R2; R11	No	Likely reflects generic CKD chronicity and stromal-cell abundance rather than IgA-specific biology.	Whole-transcriptome matrix; verify after input load	Yes	Not confirmed in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Fibrosis	FN1	Fibronectin 1	Extracellular-matrix assembly and remodeling	R2; R1	No	Likely reflects generic CKD chronicity and stromal-cell abundance rather than IgA-specific biology.	Whole-transcriptome matrix; verify after input load	Yes	Not confirmed in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Fibrosis	ACTA2	Actin alpha 2, smooth muscle	Myofibroblast/pericyte activation marker	R2; R10	No	Likely reflects generic CKD chronicity and stromal-cell abundance rather than IgA-specific biology.	Whole-transcriptome matrix; verify after input load	Yes	Not confirmed in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Fibrosis	TAGLN	Transgelin	Contractile myofibroblast/pericyte program	R2; R10	No	Likely reflects generic CKD chronicity and stromal-cell abundance rather than IgA-specific biology.	Whole-transcriptome matrix; verify after input load	Yes	Not confirmed in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Fibrosis	POSTN	Periostin	Activated fibroblast and scar-associated matrix program	R2; R11	No	Likely reflects generic CKD chronicity and stromal-cell abundance rather than IgA-specific biology.	Whole-transcriptome matrix; verify after input load	Yes	Not confirmed in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Fibrosis	THBS1	Thrombospondin 1	Matrix remodeling and profibrotic signaling context	R2; R11	No	Likely reflects generic CKD chronicity and stromal-cell abundance rather than IgA-specific biology.	Whole-transcriptome matrix; verify after input load	Yes	Not confirmed in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Inflammatory chemotaxis	CCL2	C-C motif chemokine ligand 2	Monocyte recruitment and inflammatory kidney-injury context	R3; R7	No	Broad inflammatory program; expression may be sparse and cell-type dependent.	Whole-transcriptome matrix; verify after input load	Yes	Yes in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Inflammatory chemotaxis	CCL5	C-C motif chemokine ligand 5	Leukocyte recruitment; represented in the targeted IgA-associated panel	R12; R7	No	Broad inflammatory program; expression may be sparse and cell-type dependent.	Whole-transcriptome matrix; verify after input load	Yes	Yes in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Inflammatory chemotaxis	CXCL1	C-X-C motif chemokine ligand 1	Neutrophil/inflammatory chemotaxis in injured kidney states	R3; R11	No	Broad inflammatory program; expression may be sparse and cell-type dependent.	Whole-transcriptome matrix; verify after input load	Yes	Yes in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Inflammatory chemotaxis	CXCL2	C-X-C motif chemokine ligand 2	Inflammatory chemotaxis and acute epithelial injury response	R3; R11	No	Broad inflammatory program; expression may be sparse and cell-type dependent.	Whole-transcriptome matrix; verify after input load	Yes	Yes in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Inflammatory chemotaxis	CXCL8	C-X-C motif chemokine ligand 8	Neutrophil chemotaxis; broad inflammatory rather than IgA-specific marker	R7; R11	No	Broad inflammatory program; expression may be sparse and cell-type dependent.	Whole-transcriptome matrix; verify after input load	Yes	Not confirmed in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Inflammatory chemotaxis	CXCL10	C-X-C motif chemokine ligand 10	Interferon-associated chemotaxis in inflammatory kidney states	R12; R11	No	Broad inflammatory program; expression may be sparse and cell-type dependent.	Whole-transcriptome matrix; verify after input load	Yes	Yes in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Inflammatory chemotaxis	TNF	Tumor necrosis factor	Canonical inflammatory effector downstream of immune-complex injury	R7; R3	No	Broad inflammatory program; expression may be sparse and cell-type dependent.	Whole-transcriptome matrix; verify after input load	Yes	Yes in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Inflammatory chemotaxis	IL1B	Interleukin 1 beta	Innate inflammatory cytokine and stromal/tubular injury mediator	R3; R7	No	Broad inflammatory program; expression may be sparse and cell-type dependent.	Whole-transcriptome matrix; verify after input load	Yes	Yes in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Complement	C3	Complement C3	Central complement component with established relevance to IgAN	R8; R7	No	Transcript abundance does not directly measure complement deposition or pathway activation.	Whole-transcriptome matrix; verify after input load	Yes	Yes in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Complement	CFB	Complement factor B	Alternative-pathway component and IgAN therapeutic/mechanistic context	R8	No	Transcript abundance does not directly measure complement deposition or pathway activation.	Whole-transcriptome matrix; verify after input load	Yes	Yes in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Complement	CFH	Complement factor H	Alternative-pathway regulator; included to capture regulation as well as activation	R8	No	Transcript abundance does not directly measure complement deposition or pathway activation.	Whole-transcriptome matrix; verify after input load	Yes	Yes in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Complement	C1QA	Complement C1q A chain	Macrophage-associated complement transcript; not equivalent to classical-pathway activation in IgAN deposits	R10; R12	No	Transcript abundance does not directly measure complement deposition or pathway activation.	Whole-transcriptome matrix; verify after input load	Yes	Yes in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Complement	C1QB	Complement C1q B chain	Macrophage-associated complement transcript; broad immune-cell-state marker	R10; R12	No	Transcript abundance does not directly measure complement deposition or pathway activation.	Whole-transcriptome matrix; verify after input load	Yes	Yes in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Complement	C1QC	Complement C1q C chain	Macrophage-associated complement transcript; broad immune-cell-state marker	R10; R11	No	Transcript abundance does not directly measure complement deposition or pathway activation.	Whole-transcriptome matrix; verify after input load	Yes	Not confirmed in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Endothelial activation	VCAM1	Vascular cell adhesion molecule 1	Activated endothelial adhesion molecule; compartment-dependent interpretation	R9; R10	No	Several genes are endothelial identity markers; within-cell-type analysis is required. VCAM1 is deliberately duplicated across two modules and must be interpreted by compartment.	Whole-transcriptome matrix; verify after input load	Yes	Yes in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Endothelial activation	ICAM1	Intercellular adhesion molecule 1	Leukocyte adhesion and endothelial inflammatory activation	R10; R11	No	Several genes are endothelial identity markers; within-cell-type analysis is required.	Whole-transcriptome matrix; verify after input load	Yes	Yes in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Endothelial activation	SELE	Selectin E	Activated endothelial leukocyte-recruitment marker	R10; R11	No	Several genes are endothelial identity markers; within-cell-type analysis is required.	Whole-transcriptome matrix; verify after input load	Yes	Yes in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Endothelial activation	VWF	Von Willebrand factor	Endothelial lineage and activation-associated transcript	R10; R11	No	Several genes are endothelial identity markers; within-cell-type analysis is required.	Whole-transcriptome matrix; verify after input load	Yes	Not confirmed in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Endothelial activation	PECAM1	Platelet and endothelial cell adhesion molecule 1	Endothelial lineage/adhesion marker; high values may reflect cell identity	R10; R11	No	Several genes are endothelial identity markers; within-cell-type analysis is required.	Whole-transcriptome matrix; verify after input load	Yes	Yes in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Tubular injury	HAVCR1	Hepatitis A virus cellular receptor 1 (KIM-1)	Established injured proximal-tubule marker	R4; R3	No	Broad injury/stress program; some immediate-early genes may be affected by tissue dissociation.	Whole-transcriptome matrix; verify after input load	Yes	Not confirmed in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Tubular injury	LCN2	Lipocalin 2 (NGAL)	Established epithelial kidney-injury marker	R5; R3	No	Broad injury/stress program; some immediate-early genes may be affected by tissue dissociation.	Whole-transcriptome matrix; verify after input load	Yes	Not confirmed in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Tubular injury	SPP1	Secreted phosphoprotein 1	Injured epithelial/macrophage-associated remodeling state	R3; R11	No	Broad injury/stress program; some immediate-early genes may be affected by tissue dissociation.	Whole-transcriptome matrix; verify after input load	Yes	Not confirmed in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Tubular injury	VCAM1	Vascular cell adhesion molecule 1	VCAM1-positive injured epithelial state; distinguished from endothelial VCAM1 by cell type	R3; R11	No	Broad injury/stress program; some immediate-early genes may be affected by tissue dissociation. VCAM1 is deliberately duplicated across two modules and must be interpreted by compartment.	Whole-transcriptome matrix; verify after input load	Yes	Yes in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Tubular injury	JUN	JUN proto-oncogene, AP-1 transcription factor subunit	Immediate-early stress response in injured epithelial states	R3	No	Broad injury/stress program; some immediate-early genes may be affected by tissue dissociation.	Whole-transcriptome matrix; verify after input load	Yes	Not confirmed in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Tubular injury	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	Immediate-early stress response; sensitive to dissociation stress	R3	No	Broad injury/stress program; some immediate-early genes may be affected by tissue dissociation.	Whole-transcriptome matrix; verify after input load	Yes	Not confirmed in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Tubular injury	ATF3	Activating transcription factor 3	Stress-response transcription factor in injured tubular states	R3	No	Broad injury/stress program; some immediate-early genes may be affected by tissue dissociation.	Whole-transcriptome matrix; verify after input load	Yes	Not confirmed in current focus output	Equal gene weight within module; equal module weight in composite	Retain
Tubular injury	KLF6	Kruppel-like factor 6	Injury-associated transcriptional remodeling marker	R3; R11	No	Broad injury/stress program; some immediate-early genes may be affected by tissue dissociation.	Whole-transcriptome matrix; verify after input load	Yes	Not confirmed in current focus output	Equal gene weight within module; equal module weight in composite	Retain
