Reference ID	Authors	Title	Journal / repository	Year	PMID	DOI	Source URL	Use in curation
R1	Lu P, Wang P, Tang F	Single-cell RNA-seq profiling reveals novel insights in immune-complex deposition and epithelium transition in IgA nephropathy	GEO GSE127136	2021			https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE127136	Dataset-specific biological context; GEO record notes mesangial extracellular-matrix programs and epithelial transition.
R2	Kuppe C, Ibrahim MM, Kranz J, et al.	Decoding myofibroblast origins in human kidney fibrosis	Nature	2021	33442055	10.1038/s41586-020-2941-1	https://www.nature.com/articles/s41586-020-2941-1	Human kidney single-cell and spatial evidence for matrix-producing fibroblast/myofibroblast programs.
R3	Kirita Y, Wu H, Uchimura K, Wilson PC, Humphreys BD	Cell profiling of acute kidney injury reveals conserved and divergent cellular responses to injury	Proceedings of the National Academy of Sciences USA	2020	32636335	10.1073/pnas.2005477117	https://doi.org/10.1073/pnas.2005477117	Single-cell evidence for injured tubular, inflammatory, and immediate-early stress states.
R4	Han WK, Bailly V, Abichandani R, Thadhani R, Bonventre JV	Kidney Injury Molecule-1 (KIM-1): a novel biomarker for human renal proximal tubule injury	Kidney International	2002	12081583	10.1046/j.1523-1755.2002.00433.x	https://pubmed.ncbi.nlm.nih.gov/12081583/	Primary human evidence supporting HAVCR1/KIM-1 as a proximal-tubule injury marker.
R5	Mishra J, Dent C, Tarabishi R, et al.	Urinary neutrophil gelatinase-associated lipocalin as early biomarker of acute kidney injury after cardiac surgery	The Lancet	2005	15826661	10.1016/S0140-6736(05)74811-X	https://pubmed.ncbi.nlm.nih.gov/15826661/	Clinical evidence supporting LCN2/NGAL as a kidney-injury marker.
R6	Andreatta M, Carmona SJ	UCell: Robust and scalable single-cell gene signature scoring	Computational and Structural Biotechnology Journal	2021	34285779	10.1016/j.csbj.2021.06.043	https://doi.org/10.1016/j.csbj.2021.06.043	Method reference for rank-based UCell scoring; not a biological-gene source.
R7	Suzuki H, Kiryluk K, Novak J, et al.	The pathophysiology of IgA nephropathy	Journal of the American Society of Nephrology	2011	21949093	10.1681/ASN.2011050464	https://pubmed.ncbi.nlm.nih.gov/21949093/	IgAN mechanistic context, including mesangial activation and downstream inflammatory mediators.
R8	Rizk DV, Maillard N, Julian BA, et al.	The emerging role of complement proteins as a target for therapy of IgA nephropathy	Frontiers in Immunology	2019		10.3389/fimmu.2019.00504	https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2019.00504/full	IgAN-specific review of alternative/lectin complement pathways, including C3, factor B, and factor H.
R9	Elices MJ, Osborn L, Takada Y, et al.	VCAM-1 on activated endothelium interacts with the leukocyte integrin VLA-4 at a site distinct from the VLA-4/fibronectin binding site	Cell	1990	1689216	10.1016/0092-8674(90)90661-5	https://pubmed.ncbi.nlm.nih.gov/1689216/	Foundational evidence for VCAM1 as an activated-endothelium adhesion molecule.
R10	Lake BB, Chen S, Hoshi M, et al.	A single-nucleus RNA-sequencing pipeline to decipher the molecular anatomy and pathophysiology of human kidneys	Nature Communications	2019	31249312	10.1038/s41467-019-10861-2	https://www.nature.com/articles/s41467-019-10861-2	Human kidney cell-type reference supporting endothelial, immune, stromal, and epithelial compartment assignments.
R11	Lake BB, Menon R, Winfree S, et al.	An atlas of healthy and injured cell states and niches in the human kidney	Nature	2023		10.1038/s41586-023-05769-3	https://www.nature.com/articles/s41586-023-05769-3	Cross-disease human kidney atlas supporting broad injured epithelial, stromal, immune, and vascular states.
R12	NCBI GEO contributors	GSE220100: targeted NanoString immune-transcriptomic profiling of IgA-associated kidney and skin specimens	GEO GSE220100				https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220100	Dataset-specific source for restricted immune-endothelial panel coverage and normalization audit.
R13	NCBI GEO contributors	GSE286911: single-nucleus RNA-seq of normal-eGFR and low-eGFR IgA nephropathy pools	GEO GSE286911				https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE286911	Dataset-specific source for six pooled sequencing libraries; does not establish patient-level independence.
R14	Squair JW, Gautier M, Kathe C, et al.	Confronting false discoveries in single-cell differential expression	Nature Communications	2021		10.1038/s41467-021-25960-2	https://www.nature.com/articles/s41467-021-25960-2	Methodological basis for using biological-sample-level rather than cell-level inference.
