member,bytes,sample_id,kind
GSM8733684_Le1_barcodes.tsv.gz,7734347,Le1,barcodes
GSM8733684_Le1_features.tsv.gz,294478,Le1,features
GSM8733684_Le1_matrix.mtx.gz,293459126,Le1,matrix
GSM8733685_Le2_barcodes.tsv.gz,7362911,Le2,barcodes
GSM8733685_Le2_features.tsv.gz,294478,Le2,features
GSM8733685_Le2_matrix.mtx.gz,305075848,Le2,matrix
GSM8733686_Le3_barcodes.tsv.gz,7371721,Le3,barcodes
GSM8733686_Le3_features.tsv.gz,294478,Le3,features
GSM8733686_Le3_matrix.mtx.gz,332066534,Le3,matrix
GSM8733687_Ne1_barcodes.tsv.gz,6161065,Ne1,barcodes
GSM8733687_Ne1_features.tsv.gz,294478,Ne1,features
GSM8733687_Ne1_matrix.mtx.gz,178005617,Ne1,matrix
GSM8733688_Ne2_barcodes.tsv.gz,6385478,Ne2,barcodes
GSM8733688_Ne2_features.tsv.gz,294478,Ne2,features
GSM8733688_Ne2_matrix.mtx.gz,180723320,Ne2,matrix
GSM8733689_Ne3_barcodes.tsv.gz,5365450,Ne3,barcodes
GSM8733689_Ne3_features.tsv.gz,294478,Ne3,features
GSM8733689_Ne3_matrix.mtx.gz,168501199,Ne3,matrix
